,character,counts
1,`,1
2,.,1890140
3,-,675157
4,',80
5,~,69808
6,_,0
7,",",983
8,:,1
9,!,14
10,^,2
11,+,85354
12,=,7
13,>,0
14,<,0
15,;,7
16,"""",0
17,*,0
18,r,1459799
19,\,19717
20,/,0
21,i,1029987
22,),2262
23,(,2265
24,?,52
25,v,219584
26,[,459
27,|,0
28,],452
29,L,71591
30,},294
31,{,294
32,7,597934
33,c,880993
34,l,1017218
35,x,173380
36,1,1373256
37,T,88398
38,Y,3932
39,t,1083857
40,s,960803
41,J,21738
42,z,34000
43,f,1122417
44,y,166671
45,u,353133
46,n,1258190
47,F,57673
48,C,120695
49,j,471312
50,2,634923
51,I,77275
52,o,1222734
53,V,35391
54,#,111
55,3,968387
56,e,2347792
57,a,1919661
58,4,855010
59,X,11920
60,5,766594
61,Z,4052
62,$,5261
63,k,145740
64,h,292042
65,S,170073
66,A,102084
67,P,112811
68,U,41569
69,%,184
70,E,86933
71,w,226160
72,6,801034
73,9,558002
74,G,125301
75,m,1265189
76,q,29457
77,p,1190433
78,K,24337
79,d,933979
80,b,513051
81,8,643120
82,0,2295662
83,H,33962
84,O,45498
85,D,98779
86,@,6530
87,M,102247
88,R,80058
89,N,53430
90,&,223
91,B,65804
92,W,38169
93,g,1088939
94,Q,5614
95,,0
